app_id,app_name,category,agent_auth,agent_access_model,agent_api_types,agent_mcp,agent_buildability,auth_correct,access_correct,api_correct,mcp_correct,buildability_correct,evidence_correct,human_notes
99,YouTube Transcript,"AI, Research and Media-native",API key,self_serve_free,REST,True,medium,,,,,,,
92,Otter AI,"AI, Research and Media-native","OAuth2, API key",self_serve_free,REST,True,high,,,,,,,
6,Podio,CRM and Sales,API key,paid_plan_required,REST,False,low,,,,,,,
5,Twenty,CRM and Sales,API key,paid_plan_required,REST,False,low,,,,,,,
30,Vonage,Communications and Messaging,API key,self_serve_free,REST,True,medium,,,,,,,
21,Slack,Communications and Messaging,"OAuth2, API key",self_serve_free,REST,True,high,,,,,,,
58,Sherlock,"Data, SEO and Scraping","OAuth2, API key",self_serve_trial,REST,False,high,,,,,,,
56,Firecrawl,"Data, SEO and Scraping","OAuth2, API key",self_serve_free,REST,True,high,,,,,,,
70,Sentry,"Developer, Infra and Data platforms","OAuth2, API key",self_serve_trial,REST,True,high,,,,,,,
62,Vercel,"Developer, Infra and Data platforms","OAuth2, API key",self_serve_trial,REST,False,high,,,,,,,
47,Ecwid,Ecommerce,API key,contact_sales,REST,False,low,,,,,,,
45,Adobe Commerce,Ecommerce,API key,contact_sales,REST,False,medium,,,,,,,
81,Stripe,Finance and Fintech,"OAuth2, API key",self_serve_free,REST,False,high,,,,,,,
83,Binance,Finance and Fintech,API key,paid_plan_required,REST,False,medium,,,,,,,
40,SendGrid,"Marketing, Ads, Email and Social","OAuth2, API key",self_serve_free,REST,True,high,,,,,,,
33,LinkedIn Ads,"Marketing, Ads, Email and Social","OAuth2, API key",self_serve_free,REST,False,high,,,,,,,
79,Smartsheet,Productivity and Project Management,"OAuth2, API key",self_serve_free,REST,False,high,,,,,,,
72,Airtable,Productivity and Project Management,"OAuth2, API key",self_serve_free,REST,False,high,,,,,,,
18,Help Scout,Support and Helpdesk,"OAuth2, API key",self_serve_trial,REST,True,high,,,,,,,
14,Front,Support and Helpdesk,"OAuth2, API key",self_serve_trial,REST,False,high,,,,,,,
